area_name,collector,centroid_lat,centroid_lon,local_date,start_local,end_local,file_count,file_names,temperature_f,wind_speed_kt,wind_gust_kt,wind_dir_deg,wind_dir_compass,precip_in,cloud_cover_pct,wave_height_ft,wave_period_s,wave_dir_deg,wave_dir_compass,wind_wave_height_ft,swell_wave_height_ft,unit_make,unit_product_numbers,unit_id_types,unit_software_versions,gps_datum,projected_crs,depth_mean_m,depth_range_m,range_mean_m,range_range_m,output_resolution_m
AB-16,Johny Jurisich,28.09813,-97.01818,2025-08-27,2025-08-27 07:10 CDT,2025-08-27 08:23 CDT,2,"27AUG25-0710-01.RSD,27AUG25-0753-01.RSD",84,3.9,7.6,155,SSE,0.03,71,0.66,3.85,139,SE,0,0.53,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 14N (EPSG:32614),2.58,1.16 m to 3.31 m,15.25,3.05 m to 32.0 m,0.05
GB-1,Johny Jurisich,29.42944,-94.88304,2025-07-07,2025-07-07 07:02 CDT,2025-07-07 08:08 CDT,2,"07JUL25-0702-01.RSD,07JUL25-0738-01.RSD",80.7,0.9,5.1,302,WNW,0,16,0.72,3.7,165,SSE,0.07,0.66,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),1.92,1.49 m to 2.25 m,12.57,3.92 m to 20.42 m,0.05
GB-15,Justin Woody,29.54713,-94.80638,2025-07-22,2025-07-22 09:23 CDT,2025-07-22 11:55 CDT,4,"22JUL25-0923-01.RSD,22JUL25-1004-01.RSD,22JUL25-1044-01.RSD,22JUL25-1125-01.RSD",87.7,6.7,14.1,201,SSW,0,14,0.98,3.17,170,S,0.49,0.75,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),2.23,1.82 m to 2.57 m,14.17,4.68 m to 22.86 m,0.05
GB-19,Justin Woody,29.49398,-94.79195,2025-07-23,2025-07-23 06:43 CDT,2025-07-23 09:56 CDT,5,"23JUL25-0643-01.RSD,23JUL25-0724-01.RSD,23JUL25-0805-01.RSD,23JUL25-0845-01.RSD,23JUL25-0926-01.RSD",84.37,4.4,9.03,232,SW,0,22,0.85,3.2,168,SSE,0.04,0.79,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),2.37,2.16 m to 2.74 m,14.32,5.79 m to 22.86 m,0.05
GB-2,Nick,29.43424,-94.88059,2025-07-04,2025-07-04 08:01 CDT,2025-07-04 11:08 CDT,4,"04JUL25-0801-01.RSD,04JUL25-0839-01.RSD,04JUL25-1007-01.RSD,04JUL25-1038-01.RSD",83.57,7.63,14.87,194,SSW,0,99.67,1.05,3.3,173,S,0.33,0.83,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),2.04,1.43 m to 2.96 m,8.75,3.85 m to 32.0 m,0.05
GB-2,Nick,29.43424,-94.88059,2025-07-05,2025-07-05 13:51 CDT,2025-07-05 14:56 CDT,2,"05JUL25-1351-01.RSD,05JUL25-1426-01.RSD",87.2,9,17.7,181,S,0,47,1.18,3.2,168,SSE,0.79,0.66,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),1.92,1.31 m to 2.96 m,11.52,3.71 m to 18.29 m,0.05
GB-2,Nick,29.43424,-94.88059,2025-07-07,2025-07-07 07:02 CDT,2025-07-07 07:32 CDT,1,07JUL25-0702-01.RSD,78.2,1.3,2.9,216,SW,0.02,68,0.72,3.55,165,SSE,0.07,0.66,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),1.88,1.5 m to 2.25 m,12.54,3.92 m to 20.42 m,0.05
GB-2,Nick,29.43424,-94.88059,2025-07-08,2025-07-08 10:37 CDT,2025-07-08 12:21 CDT,3,"08JUL25-1037-01.RSD,08JUL25-1115-01.RSD,08JUL25-1151-01.RSD",81.05,5.3,11.05,115,ESE,0.03,97.5,0.85,3.92,165,SSE,0.1,0.75,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),2724.99,1.4 m to 2147483.65 m,12.4,3.83 m to 38.1 m,0.05
GB-20,Johny Jurisich,29.47933,-94.75749,2025-07-24,2025-07-24 09:17 CDT,2025-07-24 14:31 CDT,8,"24JUL25-0917-01.RSD,24JUL25-0955-01.RSD,24JUL25-1033-01.RSD,24JUL25-1112-01.RSD,24JUL25-1150-01.RSD,24JUL25-1228-01.RSD,24JUL25-1323-01.RSD,24JUL25-1401-01.RSD",87.56,4.7,12.62,290,WNW,0,64.8,0.55,4.2,169,S,0,0.46,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),925.68,1.87 m to 2147483.65 m,13.21,4.87 m to 21.34 m,0.05
GB-21,Justin Woody,29.48566,-94.74824,2025-07-26,2025-07-26 11:09 CDT,2025-07-26 12:18 CDT,2,"26JUL25-1109-01.RSD,26JUL25-1148-01.RSD",84,8.1,17.3,181,S,0.01,51,1.9,3.4,173,S,1.57,0.98,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),22878.88,0.94 m to 2147483.65 m,13.29,3.05 m to 27.43 m,0.05
GB-21,Justin Woody,29.48566,-94.74824,2025-07-27,2025-07-27 06:39 CDT,2025-07-27 09:46 CDT,5,"27JUL25-0639-01.RSD,27JUL25-0718-01.RSD,27JUL25-0757-01.RSD,27JUL25-0836-01.RSD,27JUL25-0916-01.RSD",84,6.4,12.17,150,SSE,0,33.67,1.77,4.17,154,SSE,0.48,1.73,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),2.02,0.96 m to 2.49 m,13.15,3.05 m to 21.34 m,0.05
GB-22,Johny Jurisich,29.47286,-94.75374,2025-07-24,2025-07-24 06:45 CDT,2025-07-24 15:09 CDT,12,"24JUL25-0645-01.RSD,24JUL25-0723-01.RSD,24JUL25-0801-01.RSD,24JUL25-0839-01.RSD,24JUL25-0917-01.RSD,24JUL25-0955-01.RSD,24JUL25-1033-01.RSD,24JUL25-1112-01.RSD,24JUL25-1150-01.RSD,24JUL25-1323-01.RSD,24JUL25-1401-01.RSD,24JUL25-1439-01.RSD",86.08,5.01,11.92,286,WNW,0,61.56,0.57,4.14,170,S,0.02,0.46,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),617.83,1.87 m to 2147483.65 m,13.21,4.87 m to 21.34 m,0.05
GB-23,Justin Woody,29.47672,-94.74528,2025-07-24,2025-07-24 15:17 CDT,2025-07-24 15:47 CDT,1,24JUL25-1517-01.RSD,92,6.6,14.2,221,SW,0,13,0.46,4.3,168,SSE,0.07,0.46,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),2.1,1.77 m to 2.45 m,13.21,4.66 m to 21.34 m,0.05
GB-23,Justin Woody,29.47672,-94.74528,2025-07-26,2025-07-26 06:40 CDT,2025-07-26 12:18 CDT,9,"26JUL25-0640-01.RSD,26JUL25-0717-01.RSD,26JUL25-0759-01.RSD,26JUL25-0837-01.RSD,26JUL25-0915-01.RSD,26JUL25-0953-01.RSD,26JUL25-1031-01.RSD,26JUL25-1109-01.RSD,26JUL25-1148-01.RSD",81.42,6.42,14,203,SSW,0.01,76.67,1.52,3.48,160,SSE,1.03,1.03,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),5085.83,0.18 m to 2147483.65 m,13.25,3.05 m to 27.43 m,0.05
GB-23,Justin Woody,29.47672,-94.74528,2025-07-27,2025-07-27 06:39 CDT,2025-07-27 07:48 CDT,2,"27JUL25-0639-01.RSD,27JUL25-0718-01.RSD",82.6,6.5,12.4,170,S,0,22,1.9,4.15,155,SSE,0.66,1.84,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),1.96,0.96 m to 2.49 m,13.09,3.05 m to 21.34 m,0.05
GB-24,Johny Jurisich,29.47925,-94.73994,2025-07-26,2025-07-26 10:31 CDT,2025-07-26 12:18 CDT,3,"26JUL25-1031-01.RSD,26JUL25-1109-01.RSD,26JUL25-1148-01.RSD",83.8,7.6,17,181,S,0.01,58.5,1.8,3.4,172,S,1.44,0.98,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),15253.25,0.18 m to 2147483.65 m,13.26,3.05 m to 27.43 m,0.05
GB-24,Johny Jurisich,29.47925,-94.73994,2025-07-27,2025-07-27 06:39 CDT,2025-07-27 10:24 CDT,6,"27JUL25-0639-01.RSD,27JUL25-0718-01.RSD,27JUL25-0757-01.RSD,27JUL25-0836-01.RSD,27JUL25-0916-01.RSD,27JUL25-0954-01.RSD",84.28,6.95,13.3,147,SSE,0,41.5,1.71,4.16,154,SSE,0.39,1.67,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),2.04,0.96 m to 2.59 m,13.17,3.05 m to 21.34 m,0.05
GB-28,Johny Jurisich,29.48036,-94.72166,2025-07-04,2025-07-04 11:47 CDT,2025-07-04 14:36 CDT,5,"04JUL25-1147-01.RSD,04JUL25-1221-01.RSD,04JUL25-1257-01.RSD,04JUL25-1331-01.RSD,04JUL25-1406-01.RSD",84.53,6.67,14.07,181,S,0.02,99.67,1.25,3.6,171,S,0.44,1.01,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),2.17,1.77 m to 2.48 m,11.7,4.84 m to 18.29 m,0.05
GB-28,Johny Jurisich,29.48036,-94.72166,2025-07-12,2025-07-12 14:37 CDT,2025-07-12 15:07 CDT,1,12JUL25-1437-01.RSD,82.1,7.7,19.6,179,S,0.15,96,2.17,4.15,163,SSE,1.25,1.71,Garmin,3581,3491276262,4002,WGS 84 (EPSG:4326),WGS 84 / UTM zone 15N (EPSG:32615),2.13,1.49 m to 2.59 m,13.76,4.38 m to 22.25 m,0.05
